year;Song;Artist Names;Energy;Crisis;Type;Song_short;Artist_short
2009;Say Hey (I Love You) (feat. Cherine Tanya Anderson);Michael Franti & Spearhead, Cherine Tanya Anderson;0,98;Financial Crisis;Active;Say Hey (I Love You) (feat. Cherine Tanya ...;Michael Franti & Spearhead, Cherine Tanya ...
2009;Love Drunk;BOYS LIKE GIRLS;0,98;Financial Crisis;Active;Love Drunk;BOYS LIKE GIRLS
2009;Empire State Of Mind;JAY-Z, Alicia Keys;0,96;Financial Crisis;Active;Empire State Of Mind;JAY-Z, Alicia Keys
2008;Shake It;Metro Station;0,96;Financial Crisis;Active;Shake It;Metro Station
2008;Burnin' Up;Jonas Brothers;0,95;Financial Crisis;Active;Burnin' Up;Jonas Brothers
2010;Not Afraid;Eminem;0,95;Financial Crisis;Active;Not Afraid;Eminem
2009;Beautiful;"Akon, ""Colby ODonis"", Kardinal Offishall";0,95;Financial Crisis;Active;Beautiful;"Akon, ""Colby ODonis"", Kardinal Offishall"
2010;All The Right Moves;OneRepublic;0,95;Financial Crisis;Active;All The Right Moves;OneRepublic
2008;Lolli Lolli (Pop That Body) (feat. Project Pat, Young D & Superpower) - Explicit Album Version;Three 6 Mafia, Project Pat, Young-D, Superpower;0,95;Financial Crisis;Active;Lolli Lolli (Pop That Body) (feat. Project...;Three 6 Mafia, Project Pat, Young-D, Super...
2008;The Way I Are - Timbaland vs. Nephew featuring Keri Hilson & D.O.E;Timbaland, Keri Hilson, D.O.E.;0,94;Financial Crisis;Active;The Way I Are - Timbaland vs. Nephew featu...;Timbaland, Keri Hilson, D.O.E.
2020;Lovin' On You;Luke Combs;0,95;COVID;Active;Lovin' On You;Luke Combs
2020;Good as Hell;Lizzo;0,92;COVID;Active;Good as Hell;Lizzo
2021;Bad Habits;Ed Sheeran;0,89;COVID;Active;Bad Habits;Ed Sheeran
2021;Knife Prty;Deftones;0,88;COVID;Active;Knife Prty;Deftones
2020;More Than My Hometown;Morgan Wallen;0,87;COVID;Active;More Than My Hometown;Morgan Wallen
2021;Famous Friends;Chris Young, Kane Brown;0,86;COVID;Active;Famous Friends;Chris Young, Kane Brown
2020;Rain On Me (with Ariana Grande);Lady Gaga, Ariana Grande;0,86;COVID;Active;Rain On Me (with Ariana Grande);Lady Gaga, Ariana Grande
2020;Does To Me (feat. Eric Church);Luke Combs, Eric Church;0,85;COVID;Active;Does To Me (feat. Eric Church);Luke Combs, Eric Church
2020;One Margarita;Luke Bryan;0,84;COVID;Active;One Margarita;Luke Bryan
2021;Just the Way You Are;Bruno Mars;0,84;COVID;Active;Just the Way You Are;Bruno Mars
