year;Song;Artist Names;Energy;Crisis;Type;Song_short;Artist_short
2010;The House That Built Me;Miranda Lambert;0,3;Financial Crisis;Mellow;The House That Built Me;Miranda Lambert
2008;I Luv Your Girl;The-Dream;0,32;Financial Crisis;Mellow;I Luv Your Girl;The-Dream
2008;Shadow of the Day;Linkin Park;0,39;Financial Crisis;Mellow;Shadow of the Day;Linkin Park
2009;Pretty Wings - uncut;Maxwell;0,4;Financial Crisis;Mellow;Pretty Wings - uncut;Maxwell
2008;Teardrops On My Guitar - Radio Single Remix;Taylor Swift;0,42;Financial Crisis;Mellow;Teardrops On My Guitar - Radio Single Remix;Taylor Swift
2008;Lollipop;Lil Wayne, Static Major;0,43;Financial Crisis;Mellow;Lollipop;Lil Wayne, Static Major
2008;Independent (feat. Lil' Boosie and Lil' Phat);Webbie, Boosie Badazz, Lil Phat;0,43;Financial Crisis;Mellow;Independent (feat. Lil' Boosie and Lil' Phat);Webbie, Boosie Badazz, Lil Phat
2009;Pop Champagne (feat. Juelz Santana) - Explicit Album Version;Jim Jones, Ron Browz, Juelz Santana;0,43;Financial Crisis;Mellow;Pop Champagne (feat. Juelz Santana) - Expl...;Jim Jones, Ron Browz, Juelz Santana
2010;Teach Me How to Dougie;Cali Swag District;0,44;Financial Crisis;Mellow;Teach Me How to Dougie;Cali Swag District
2009;Day 'N' Nite (nightmare);Kid Cudi;0,44;Financial Crisis;Mellow;Day 'N' Nite (nightmare);Kid Cudi
2020;everything i wanted;Billie Eilish;0,22;COVID;Mellow;everything i wanted;Billie Eilish
2021;Better Together;Luke Combs;0,22;COVID;Mellow;Better Together;Luke Combs
2021;Happier Than Ever;Billie Eilish;0,22;COVID;Mellow;Happier Than Ever;Billie Eilish
2021;Peaches;Jack Black;0,31;COVID;Mellow;Peaches;Jack Black
2020;Memories;Maroon 5;0,33;COVID;Mellow;Memories;Maroon 5
2021;Arcade;Duncan Laurence;0,33;COVID;Mellow;Arcade;Duncan Laurence
2021;traitor;Olivia Rodrigo;0,34;COVID;Mellow;traitor;Olivia Rodrigo
2021;Therefore I Am;Billie Eilish;0,34;COVID;Mellow;Therefore I Am;Billie Eilish
2020;Lose You To Love Me;Selena Gomez;0,34;COVID;Mellow;Lose You To Love Me;Selena Gomez
2020;One Man Band;Old Dominion;0,36;COVID;Mellow;One Man Band;Old Dominion
